%! This file is the old "azfwocm_jn98.txt" file with some gas info
%! added (2 August 2000) to the header before the (unchanged) main
%! data block.
%!
%! alpha:  3.1512297119580056E-02  6.6728680529010737E-02
%! 3.9241615312540203E-02  2.9047926354623648E-02  4.1561877744284582E-02
%!
%! New data header line (added 2 August 2000):
%!    NGAS    IDGAS1 IDGAS2 IDGAS3 ... IDGAS<NGAS>
%!
%! layer fixed       water         ozone    carbon monoxide  methane
%!---  -----------  -----------  -----------  -----------  -----------
% 5    2  1  3  5  6
 101  5.06388E-08  1.92447E-09  3.27658E-11  1.12885E-10  3.80847E-11
 102  5.23301E-08  2.05743E-09  3.41026E-11  1.16399E-10  3.97256E-11
 103  5.40756E-08  2.19956E-09  3.54928E-11  1.20017E-10  4.14361E-11
 104  5.58769E-08  2.35150E-09  3.69387E-11  1.23741E-10  4.32193E-11
 105  5.77359E-08  2.51392E-09  3.84424E-11  1.27576E-10  4.50780E-11
 106  5.96544E-08  2.68755E-09  4.00063E-11  1.31523E-10  4.70157E-11
 107  6.16343E-08  2.87316E-09  4.16329E-11  1.35586E-10  4.90356E-11
 108  6.36776E-08  3.07159E-09  4.33245E-11  1.39769E-10  5.11412E-11
 109  6.57863E-08  3.28370E-09  4.50838E-11  1.44076E-10  5.33362E-11
 110  6.79625E-08  3.51045E-09  4.69135E-11  1.48509E-10  5.56243E-11
 111  7.02084E-08  3.75285E-09  4.88165E-11  1.53073E-10  5.80096E-11
 112  7.25262E-08  4.01197E-09  5.07956E-11  1.57772E-10  6.04960E-11
 113  7.49182E-08  4.28898E-09  5.28539E-11  1.62609E-10  6.30880E-11
 114  7.73868E-08  4.58510E-09  5.49946E-11  1.67588E-10  6.57900E-11
 115  7.99344E-08  4.90165E-09  5.72210E-11  1.72715E-10  6.86066E-11
 116  8.25636E-08  5.24005E-09  5.95365E-11  1.77992E-10  7.15427E-11
 117  8.52769E-08  5.60180E-09  6.19446E-11  1.83425E-10  7.46035E-11
 118  8.80771E-08  5.98851E-09  6.44492E-11  1.89019E-10  7.77942E-11
 119  9.09670E-08  6.40190E-09  6.70539E-11  1.94777E-10  8.11202E-11
 120  9.39493E-08  6.84383E-09  6.97629E-11  2.00704E-10  8.45875E-11
 121  9.70272E-08  7.31625E-09  7.25804E-11  2.06807E-10  8.82018E-11
 122  1.00204E-07  7.82126E-09  7.55105E-11  2.13089E-10  9.19696E-11
 123  1.03482E-07  8.36113E-09  7.85580E-11  2.19557E-10  9.58972E-11
 124  1.06865E-07  8.93825E-09  8.17274E-11  2.26215E-10  9.99915E-11
 125  1.10356E-07  9.55520E-09  8.50237E-11  2.33069E-10  1.04260E-10
 126  1.13959E-07  1.02147E-08  8.84519E-11  2.40126E-10  1.08709E-10
 127  1.17677E-07  1.09197E-08  9.20173E-11  2.47390E-10  1.13347E-10
 128  1.21515E-07  1.16734E-08  9.57254E-11  2.54868E-10  1.18182E-10
 129  1.25475E-07  1.24791E-08  9.95819E-11  2.62567E-10  1.23222E-10
 130  1.29562E-07  1.33404E-08  1.03593E-10  2.70493E-10  1.28476E-10
 131  1.33780E-07  1.42611E-08  1.07764E-10  2.78653E-10  1.33952E-10
 132  1.38133E-07  1.52454E-08  1.12102E-10  2.87053E-10  1.39662E-10
 133  1.42626E-07  1.62975E-08  1.16614E-10  2.95700E-10  1.45613E-10
 134  1.47262E-07  1.74223E-08  1.21307E-10  3.04602E-10  1.51817E-10
 135  1.52046E-07  1.86247E-08  1.26187E-10  3.13767E-10  1.58285E-10
 136  1.56984E-07  1.99100E-08  1.31263E-10  3.23202E-10  1.65027E-10
 137  1.62080E-07  2.12841E-08  1.36541E-10  3.32915E-10  1.72055E-10
 138  1.67339E-07  2.27530E-08  1.42031E-10  3.42914E-10  1.79381E-10
 139  1.72766E-07  2.43232E-08  1.47741E-10  3.53208E-10  1.87018E-10
 140  1.78367E-07  2.60018E-08  1.53680E-10  3.63806E-10  1.94979E-10
 141  1.84148E-07  2.77962E-08  1.59855E-10  3.74715E-10  2.03279E-10
 142  1.90113E-07  2.97145E-08  1.66279E-10  3.85946E-10  2.11930E-10
 143  1.96270E-07  3.17651E-08  1.72959E-10  3.97509E-10  2.20948E-10
 144  2.02623E-07  3.39572E-08  1.79906E-10  4.09412E-10  2.30350E-10
 145  2.09180E-07  3.63006E-08  1.87132E-10  4.21666E-10  2.40150E-10
 146  2.15947E-07  3.88057E-08  1.94646E-10  4.34281E-10  2.50366E-10
 147  2.22931E-07  4.14837E-08  2.02462E-10  4.47268E-10  2.61015E-10
